,Ticker,Score,PE_Ratio,PB_Ratio,ROE,Dividend_Yield,Upside_Potential,Current_Price,Target_Price
289,LLY,5,86.87486,50.889732,0.65318,0.0064999997,25.22568388114188,805.33,1008.48
496,WYNN,5,11.159793,,,0.0105,36.69745958429562,86.6,118.38
474,VTRS,5,,0.7076048,-0.03203,0.0419,34.082073434125284,11.575,15.52
19,GOOGL,5,22.53785,6.625932,0.32101002,0.0047,21.50727711979259,169.71,206.21
220,GL,5,8.817797,1.7921426,,0.0093,24.190293128303697,104.05,129.22
406,ROST,5,22.859678,9.173463,0.43236,0.0105,21.66090453679532,141.73,172.43
144,DAL,5,8.092718,2.7412968,0.4067,0.0105,8.503217734817525,58.3485,63.31
452,TRV,5,12.524911,1.998705,0.19059,0.0173,9.24710899696548,243.86,266.41
284,LRCX,5,24.5534,11.570841,0.49116,0.0124,24.278370897587976,75.87,94.29
299,MRO,5,10.763672,1.3745198,0.13327,0.016,13.33696243875886,27.555,31.23
294,L,5,10.325798,1.0412756,0.110139996,0.0033000002,,77.65,
388,PHM,5,9.726735,2.3389215,0.26705,0.0062,14.806378132118446,131.7,151.2
356,ON,5,17.3598,3.4690335,0.2183,,22.2555746140652,69.96,85.53
360,PCAR,5,12.070471,3.03118,0.27142,0.0114,3.88286535075526,107.91,112.1
167,ELV,5,15.2204,2.213592,0.15504,0.0156,26.979415988511235,417.8,530.52
398,REGN,5,20.472559,3.0440927,0.17166,,33.41021476485753,828.115,1104.79
156,DHI,5,11.993724,2.201641,0.19631,0.0094,10.866910866910873,171.99,190.68
196,FSLR,5,18.285961,2.9930918,0.17964001,,31.82289213377296,212.3,279.86
146,DXCM,5,41.761272,13.598993,0.32061002,,39.276493663115474,68.9061,95.97
142,DE,5,13.627047,4.7400675,0.35481,0.0146,4.884305897958918,399.545,419.06
353,OXY,5,13.010364,1.9135073,0.14427,0.0174,25.92592592592593,50.22,63.24
204,FOX,5,9.9511,1.6747593,0.17711,0.0135,,40.7,
203,FOXA,5,10.695599,1.8000575,0.17711,0.0126,-2.343124928563256,43.745,42.72
209,GE,5,34.335484,9.982276,0.22552,0.0064999997,20.828878986723986,174.0809,210.34
149,DFS,5,12.274557,2.216971,0.20263,0.0188,1.7317153164972288,152.45,155.09
219,GPN,5,20.226414,1.1955346,0.06064,0.0095,22.472014925373117,107.2,131.29
427,STLD,5,12.162917,2.2923985,0.19703,0.0138,0.31081181084882115,135.13,135.55
216,GM,5,5.69904,0.82808673,0.14167,0.0093,10.636704119850183,53.4,59.08
326,MPWR,5,85.84139,15.82896,0.20214,0.0064999997,24.837183703956068,763.13,952.67
101,CHTR,5,12.070511,3.884642,0.32965,,2.453462107640769,385.17,394.62
351,NXPI,5,20.690542,6.2478795,0.31456,0.0171,30.132367914922508,220.975,287.56
123,CEG,5,25.705297,5.7990537,0.22846001,0.0062,20.769461977757754,232.89,281.26
432,SNPS,5,54.176292,10.471039,0.21819,,22.06618332667314,525.51,641.47
347,NRG,5,9.9561405,6.337242,0.59641,0.0185,5.374449339207055,90.8,95.68
263,JBL,5,11.480287,8.389758,0.60295,0.0025,12.06681236340932,128.12,143.58
319,MSFT,5,34.04756,10.638488,0.35604,0.0081,20.72345646021354,411.635,496.94
104,CB,5,11.349057,1.6958721,0.16125,0.013200001,8.587227583215862,276.69,300.45
443,TER,5,33.441082,5.8955135,0.19206,0.0046,26.613018427693923,105.005,132.95
